"Label","Cibola County, New Mexico!!Estimate","Cibola County, New Mexico!!Margin of Error","Cibola County, New Mexico!!Percent","Cibola County, New Mexico!!Percent Margin of Error"
"        Average household size of owner-occupied unit","2.91","±0.14","(X)","(X)"
"        Average household size of renter-occupied unit","2.93","±0.22","(X)","(X)"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","",""
"    Occupied housing units","8,708","±335","8,708","(X)"
"        Moved in 2017 or later","756","±164","8.7%","±1.8"
"        Moved in 2015 to 2016","710","±179","8.2%","±2.0"
"        Moved in 2010 to 2014","1,841","±274","21.1%","±2.9"
"        Moved in 2000 to 2009","1,866","±242","21.4%","±2.6"
"        Moved in 1990 to 1999","1,290","±230","14.8%","±2.7"
"        Moved in 1989 and earlier","2,245","±223","25.8%","±2.6"
"VEHICLES AVAILABLE","","","",""
"    Occupied housing units","8,708","±335","8,708","(X)"
"        No vehicles available","643","±152","7.4%","±1.7"
"        1 vehicle available","2,999","±325","34.4%","±3.3"
"        2 vehicles available","2,436","±283","28.0%","±3.3"
"        3 or more vehicles available","2,630","±301","30.2%","±3.2"
"HOUSE HEATING FUEL","","","",""
"    Occupied housing units","8,708","±335","8,708","(X)"
"        Utility gas","4,692","±357","53.9%","±3.5"
"        Bottled, tank, or LP gas","1,213","±233","13.9%","±2.7"
"        Electricity","988","±201","11.3%","±2.3"
"        Fuel oil, kerosene, etc.","0","±22","0.0%","±0.4"
"        Coal or coke","11","±19","0.1%","±0.2"
"        Wood","1,602","±247","18.4%","±2.6"
"        Solar energy","10","±11","0.1%","±0.1"
"        Other fuel","192","±93","2.2%","±1.1"
"        No fuel used","0","±22","0.0%","±0.4"
"SELECTED CHARACTERISTICS","","","",""
"    Occupied housing units","8,708","±335","8,708","(X)"
"        Lacking complete plumbing facilities","327","±106","3.8%","±1.2"
"        Lacking complete kitchen facilities","208","±85","2.4%","±1.0"
"        No telephone service available","329","±110","3.8%","±1.3"
"OCCUPANTS PER ROOM","","","",""
"    Occupied housing units","8,708","±335","8,708","(X)"
"        1.00 or less","7,954","±358","91.3%","±2.1"
"        1.01 to 1.50","477","±139","5.5%","±1.6"
"        1.51 or more","277","±115","3.2%","±1.3"
"VALUE","","","",""
"    Owner-occupied units","5,981","±284","5,981","(X)"
"        Less than $50,000","1,953","±257","32.7%","±3.9"
"        $50,000 to $99,999","1,476","±243","24.7%","±3.9"
"        $100,000 to $149,999","1,257","±198","21.0%","±3.1"
"        $150,000 to $199,999","541","±128","9.0%","±2.1"
"        $200,000 to $299,999","383","±115","6.4%","±1.9"
"        $300,000 to $499,999","202","±92","3.4%","±1.5"
"        $500,000 to $999,999","93","±44","1.6%","±0.7"
"        $1,000,000 or more","76","±77","1.3%","±1.3"
"        Median (dollars)","84,400","±5,455","(X)","(X)"
"MORTGAGE STATUS","","","",""
"    Owner-occupied units","5,981","±284","5,981","(X)"
"        Housing units with a mortgage","1,713","±233","28.6%","±3.5"
"        Housing units without a mortgage","4,268","±271","71.4%","±3.5"
"SELECTED MONTHLY OWNER COSTS (SMOC)","","","",""
"    Housing units with a mortgage","1,713","±233","1,713","(X)"
"        Less than $500","88","±45","5.1%","±2.7"
"        $500 to $999","921","±203","53.8%","±8.5"
"        $1,000 to $1,499","545","±145","31.8%","±7.5"
"        $1,500 to $1,999","107","±59","6.2%","±3.3"
"        $2,000 to $2,499","47","±48","2.7%","±2.8"
"        $2,500 to $2,999","0","±22","0.0%","±1.9"
"        $3,000 or more","5","±10","0.3%","±0.6"
"        Median (dollars)","953","±39","(X)","(X)"
"    Housing units without a mortgage","4,268","±271","4,268","(X)"
"        Less than $250","1,658","±247","38.8%","±4.6"
"        $250 to $399","1,879","±216","44.0%","±5.1"
"        $400 to $599","578","±163","13.5%","±3.7"
"        $600 to $799","100","±41","2.3%","±1.0"
"        $800 to $999","37","±40","0.9%","±0.9"
"        $1,000 or more","16","±20","0.4%","±0.5"
"        Median (dollars)","276","±10","(X)","(X)"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","","","",""
"    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","1,655","±231","1,655","(X)"
"        Less than 20.0 percent","857","±188","51.8%","±8.6"
"        20.0 to 24.9 percent","232","±100","14.0%","±5.5"
"        25.0 to 29.9 percent","239","±98","14.4%","±5.4"
"        30.0 to 34.9 percent","67","±45","4.0%","±2.6"
"        35.0 percent or more","260","±101","15.7%","±6.1"
"        Not computed","58","±54","(X)","(X)"
"    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","4,176","±296","4,176","(X)"
"        Less than 10.0 percent","2,385","±275","57.1%","±4.9"
"        10.0 to 14.9 percent","529","±137","12.7%","±3.2"
"        15.0 to 19.9 percent","426","±119","10.2%","±2.8"
"        20.0 to 24.9 percent","218","±102","5.2%","±2.5"
"        25.0 to 29.9 percent","174","±105","4.2%","±2.5"
"        30.0 to 34.9 percent","118","±89","2.8%","±2.1"
"        35.0 percent or more","326","±115","7.8%","±2.7"
"        Not computed","92","±60","(X)","(X)"
"GROSS RENT","","","",""
"    Occupied units paying rent","2,206","±299","2,206","(X)"
"        Less than $500","673","±144","30.5%","±5.6"
"        $500 to $999","1,381","±259","62.6%","±6.4"
"        $1,000 to $1,499","124","±72","5.6%","±3.4"
"        $1,500 to $1,999","19","±27","0.9%","±1.2"
"        $2,000 to $2,499","0","±22","0.0%","±1.5"
"        $2,500 to $2,999","0","±22","0.0%","±1.5"
"        $3,000 or more","9","±15","0.4%","±0.7"
"        Median (dollars)","660","±41","(X)","(X)"
"        No rent paid","521","±152","(X)","(X)"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","2,134","±293","2,134","(X)"
"        Less than 15.0 percent","668","±186","31.3%","±7.4"
"        15.0 to 19.9 percent","252","±105","11.8%","±4.6"
"        20.0 to 24.9 percent","216","±91","10.1%","±4.2"
"        25.0 to 29.9 percent","251","±97","11.8%","±4.2"
"        30.0 to 34.9 percent","211","±104","9.9%","±4.8"
"        35.0 percent or more","536","±132","25.1%","±5.2"
"        Not computed","593","±157","(X)","(X)"
