"Label","Alameda County, California!!Estimate","Alameda County, California!!Margin of Error","Alameda County, California!!Percent","Alameda County, California!!Percent Margin of Error"
"        $50,000 to $99,999","2,095","±631","0.7%","±0.2"
"        $100,000 to $149,999","3,294","±1,136","1.1%","±0.4"
"        $150,000 to $199,999","2,495","±817","0.8%","±0.3"
"        $200,000 to $299,999","4,737","±1,148","1.5%","±0.4"
"        $300,000 to $499,999","23,329","±2,347","7.5%","±0.7"
"        $500,000 to $999,999","157,435","±5,067","50.7%","±1.3"
"        $1,000,000 or more","114,740","±3,368","37.0%","±1.0"
"        Median (dollars)","882,100","±8,723","(X)","(X)"
"MORTGAGE STATUS","","","",""
"    Owner-occupied units","310,526","±5,902","310,526","(X)"
"        Housing units with a mortgage","223,316","±6,233","71.9%","±1.2"
"        Housing units without a mortgage","87,210","±3,668","28.1%","±1.2"
"SELECTED MONTHLY OWNER COSTS (SMOC)","","","",""
"    Housing units with a mortgage","223,316","±6,233","223,316","(X)"
"        Less than $500","707","±341","0.3%","±0.2"
"        $500 to $999","3,470","±813","1.6%","±0.4"
"        $1,000 to $1,499","13,369","±2,013","6.0%","±0.9"
"        $1,500 to $1,999","23,187","±2,421","10.4%","±1.1"
"        $2,000 to $2,499","31,299","±3,096","14.0%","±1.3"
"        $2,500 to $2,999","34,657","±2,740","15.5%","±1.1"
"        $3,000 or more","116,627","±5,187","52.2%","±1.8"
"        Median (dollars)","3,089","±67","(X)","(X)"
"    Housing units without a mortgage","87,210","±3,668","87,210","(X)"
"        Less than $250","3,931","±1,009","4.5%","±1.1"
"        $250 to $399","9,483","±1,238","10.9%","±1.4"
"        $400 to $599","16,383","±1,599","18.8%","±1.6"
"        $600 to $799","17,702","±2,182","20.3%","±2.2"
"        $800 to $999","14,553","±1,600","16.7%","±1.8"
"        $1,000 or more","25,158","±2,048","28.8%","±2.1"
"        Median (dollars)","757","±23","(X)","(X)"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","","","",""
"    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","222,538","±6,188","222,538","(X)"
"        Less than 20.0 percent","83,030","±4,056","37.3%","±1.6"
"        20.0 to 24.9 percent","40,165","±3,201","18.0%","±1.3"
"        25.0 to 29.9 percent","25,068","±2,280","11.3%","±1.0"
"        30.0 to 34.9 percent","19,467","±2,230","8.7%","±1.0"
"        35.0 percent or more","54,808","±3,567","24.6%","±1.3"
"        Not computed","778","±384","(X)","(X)"
"    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","86,630","±3,612","86,630","(X)"
"        Less than 10.0 percent","45,066","±2,838","52.0%","±2.1"
"        10.0 to 14.9 percent","15,184","±1,547","17.5%","±1.8"
"        15.0 to 19.9 percent","7,094","±1,460","8.2%","±1.7"
"        20.0 to 24.9 percent","4,337","±998","5.0%","±1.1"
"        25.0 to 29.9 percent","2,789","±758","3.2%","±0.9"
"        30.0 to 34.9 percent","2,333","±646","2.7%","±0.7"
"        35.0 percent or more","9,827","±1,689","11.3%","±1.9"
"        Not computed","580","±396","(X)","(X)"
"GROSS RENT","","","",""
"    Occupied units paying rent","269,633","±5,900","269,633","(X)"
"        Less than $500","15,579","±2,042","5.8%","±0.7"
"        $500 to $999","23,762","±2,823","8.8%","±1.0"
"        $1,000 to $1,499","41,046","±3,311","15.2%","±1.2"
"        $1,500 to $1,999","56,430","±4,198","20.9%","±1.4"
"        $2,000 to $2,499","57,812","±3,857","21.4%","±1.3"
"        $2,500 to $2,999","38,835","±2,995","14.4%","±1.1"
"        $3,000 or more","36,169","±2,780","13.4%","±1.1"
"        Median (dollars)","1,982","±41","(X)","(X)"
"        No rent paid","5,473","±1,089","(X)","(X)"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","264,731","±5,912","264,731","(X)"
"        Less than 15.0 percent","34,921","±3,318","13.2%","±1.2"
"        15.0 to 19.9 percent","34,078","±2,721","12.9%","±1.0"
"        20.0 to 24.9 percent","36,195","±3,284","13.7%","±1.2"
"        25.0 to 29.9 percent","32,771","±2,923","12.4%","±1.1"
"        30.0 to 34.9 percent","24,288","±2,117","9.2%","±0.8"
"        35.0 percent or more","102,478","±5,362","38.7%","±1.7"
"        Not computed","10,375","±1,508","(X)","(X)"
