"Label","Fayette County, Kentucky!!Estimate","Fayette County, Kentucky!!Margin of Error","Fayette County, Kentucky!!Percent","Fayette County, Kentucky!!Percent Margin of Error"
"        $200,000 to $299,999","17,092","±1,838","24.3%","±2.5"
"        $300,000 to $499,999","14,177","±1,390","20.2%","±1.9"
"        $500,000 to $999,999","5,581","±1,049","7.9%","±1.5"
"        $1,000,000 or more","818","±314","1.2%","±0.4"
"        Median (dollars)","211,400","±8,550","(X)","(X)"
"MORTGAGE STATUS","","","",""
"    Owner-occupied units","70,322","±2,651","70,322","(X)"
"        Housing units with a mortgage","48,336","±2,568","68.7%","±2.4"
"        Housing units without a mortgage","21,986","±1,851","31.3%","±2.4"
"SELECTED MONTHLY OWNER COSTS (SMOC)","","","",""
"    Housing units with a mortgage","48,336","±2,568","48,336","(X)"
"        Less than $500","614","±459","1.3%","±0.9"
"        $500 to $999","10,196","±1,549","21.1%","±2.9"
"        $1,000 to $1,499","19,422","±1,905","40.2%","±3.2"
"        $1,500 to $1,999","8,108","±1,223","16.8%","±2.3"
"        $2,000 to $2,499","4,610","±1,003","9.5%","±2.1"
"        $2,500 to $2,999","1,637","±449","3.4%","±0.9"
"        $3,000 or more","3,749","±807","7.8%","±1.7"
"        Median (dollars)","1,337","±38","(X)","(X)"
"    Housing units without a mortgage","21,986","±1,851","21,986","(X)"
"        Less than $250","2,054","±729","9.3%","±3.0"
"        $250 to $399","5,844","±1,100","26.6%","±4.3"
"        $400 to $599","7,988","±1,123","36.3%","±4.1"
"        $600 to $799","3,356","±738","15.3%","±3.3"
"        $800 to $999","1,322","±441","6.0%","±2.0"
"        $1,000 or more","1,422","±562","6.5%","±2.5"
"        Median (dollars)","472","±24","(X)","(X)"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","","","",""
"    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","48,306","±2,573","48,306","(X)"
"        Less than 20.0 percent","27,574","±2,320","57.1%","±3.6"
"        20.0 to 24.9 percent","7,172","±1,045","14.8%","±2.1"
"        25.0 to 29.9 percent","3,989","±958","8.3%","±1.9"
"        30.0 to 34.9 percent","3,870","±1,105","8.0%","±2.2"
"        35.0 percent or more","5,701","±990","11.8%","±2.0"
"        Not computed","30","±50","(X)","(X)"
"    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","21,716","±1,847","21,716","(X)"
"        Less than 10.0 percent","12,477","±1,444","57.5%","±4.7"
"        10.0 to 14.9 percent","3,149","±705","14.5%","±3.0"
"        15.0 to 19.9 percent","1,848","±605","8.5%","±2.6"
"        20.0 to 24.9 percent","1,281","±497","5.9%","±2.2"
"        25.0 to 29.9 percent","674","±486","3.1%","±2.2"
"        30.0 to 34.9 percent","438","±300","2.0%","±1.4"
"        35.0 percent or more","1,849","±676","8.5%","±3.0"
"        Not computed","270","±259","(X)","(X)"
"GROSS RENT","","","",""
"    Occupied units paying rent","59,963","±3,402","59,963","(X)"
"        Less than $500","2,818","±797","4.7%","±1.4"
"        $500 to $999","32,030","±2,740","53.4%","±3.5"
"        $1,000 to $1,499","18,946","±2,334","31.6%","±3.2"
"        $1,500 to $1,999","3,975","±1,134","6.6%","±1.9"
"        $2,000 to $2,499","1,893","±836","3.2%","±1.4"
"        $2,500 to $2,999","208","±222","0.3%","±0.4"
"        $3,000 or more","93","±118","0.2%","±0.2"
"        Median (dollars)","932","±29","(X)","(X)"
"        No rent paid","1,644","±642","(X)","(X)"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","58,922","±3,275","58,922","(X)"
"        Less than 15.0 percent","8,720","±1,444","14.8%","±2.4"
"        15.0 to 19.9 percent","7,117","±1,330","12.1%","±2.1"
"        20.0 to 24.9 percent","7,417","±1,757","12.6%","±3.0"
"        25.0 to 29.9 percent","7,584","±1,629","12.9%","±2.8"
"        30.0 to 34.9 percent","4,981","±1,382","8.5%","±2.3"
"        35.0 percent or more","23,103","±3,100","39.2%","±4.4"
"        Not computed","2,685","±949","(X)","(X)"
